,Unnamed: 0,Date_Posted,Comment,Username,Upvotes,date_retrieved,article_name,link,sections,word_count,character_count,link_count,emoji_count,hashtag_count,mention_count,polarity_pos,polarity_neg,polarity_neu,polarity_compound
0,0,2022-04-04,"Will the administration open domestic production when we face a crisis and the Strategic reserve is depleted, or will we be asked to endure the misery caused while foreign countries enrich themselves?",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,32,200,0,1,0,,0.0,0.212,0.788,-0.8316
1,1,2022-04-03,"""President Biden knows inflation and gasoline prices are killing Democrats in the polls, and he’s scrambling to show he’s doing something about it.""
Yes he is but you can't fool people on this kind of thing, they see it everyday. It will take more than his and his administration's normal ""shows"" (e.g. trip to So Cal, trip to the ""border"" trip to Europe, speeches, blaming others). Only real RESULTS in these areas will matter. Get the gas prices down to say $2.50 and inflation to 2-3% and people might respond. He can't do that because his fundamental policies/beliefs do just the opposite. In the...<span data-openweb-allow-amp=""true"" style=""font-weight: bold; cursor: pointer;"">See more</span>",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,110,698,0,36,0,,0.079,0.058,0.863,0.1303
2,2,2022-04-03,"""But the oil will need to be replaced, which will push up future demand.""
The liberal left is so stupid.  Ugh!",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,21,110,0,3,0,,0.0,0.355,0.645,-0.9092
3,3,2022-04-02,"This use of the ""Reserve""  language appears to be another attempt at changing the meaning of words to suit an occasion,
A ""Reserve"" should be ""in Reserve"" for some sort of emergency. &nbsp;
 What then happens when the emergency arrives, and we have 
no fallback position?    Will it be ""Freezing in the Dark?""",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,53,309,0,12,0,,0.0,0.169,0.831,-0.8292
4,4,2022-04-02,"For God’s sake, when media (including WSJ) stop pretending that Biden is “The Decider” (could not help myself lampooning     
W), he is not, is the ruling chamber at the top of the gigantic bureaucracy juggernaut that truly rules this nation (sorry to break your bubble, but is the same one even on Republican administrations). Perhaps if We internalize this notion We’ll understand that changing administrations through the presidential election system doesn’t change the practice. Its by design. How to proceed into addressing and solving this conundrum? I don’t know",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,89,569,0,13,0,,0.082,0.035,0.883,0.5301
5,5,2022-04-02,"Listened to the old senile Maryland rep Steny Hoyer yesterday prattle on about all the current non-producing oil/gas leased properties and thus he pointed his finger directly at private industry as the culprit for our current oil/gas dilemma.&nbsp;<strong>Too funny </strong>

And yet we daily read about the democrats never ending quest for all Americans to worship at the Climate Change Alter and eliminate forever all fossil fuels.&nbsp; WSJ article of April 1 details their more draconian EPA/Transp Dept auto mileage mandate as just another example of their zealot driven climate change quest to kill fossil fuels.  

So, in a delusional mind of a democrat, a rational investor should just ignore all the Biden, Bernie, AOC Squad screaming rhetoric and still invest their dollars in developing new oil/gas properties in the US when the entire democrat party apparatus wants to entirely crush their business interests? That reasoning is Pure Insanity!",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,149,955,0,16,0,,0.06,0.114,0.826,-0.8685
6,6,2022-04-02,"All this is such a joke.  Biden (or should I say his caretakers) have completely embraced the New Green Deal agenda which includes the plan to increase the cost of fossil fuels to prod more people into those expensive electric cars, electric heat, solar panels etc.  Or just give up their cars!  Just yesterday they want to further boost gas mileage standards to an unreasonable 49 mpg average.  This would result in gas cars with tiny engines and very slow acceleration making those zippy electric cars more attractive.  So what is the problem with high gas prices?  Well now the problem is with the Dems getting reelected.  High gas prices are something a lot of the voters see.  Voting for that clueless confused geriatric hiding in his basement has resulted in these consequences.

So now Biden's puppeteers want to suck down the strategic petroleum reserve in a hope to drop gas prices maybe 20 cents/gallon and we should be happy with this after it went up about $2.  Then after November hoping the voters get duped they will restock the reserves with way more expensive petroleum and the gas prices will shoot way up, but no problem, election is over.  Remember it was Trump who had stocked up the petroleum reserve at real cheap prices a few years ago.  Of course no thankyou to Mr. Trump for providing the Dems with this gift.  We won't be suckered by this scam.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,240,1371,0,8,0,,0.094,0.114,0.791,-0.7402
7,7,2022-04-02,"Buy a $50K EV to save $80 per month?

Not, both my ICE cars are paid for and will run for another 10 years or more.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,26,115,0,3,0,,0.118,0.0,0.882,0.4939
8,8,2022-04-01,"OK, I've read A LOT of the comments. Hey Joe, the citizens have figured out your scam...in case you weren't sure how it was going among the great unwashed. 
And the new MSNBC propagandist Jen has to explain all of this. Imagine having that job, parroting a pack of lies. Every. Single. Day!",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,53,290,0,3,0,,0.124,0.081,0.795,0.5519
9,9,2022-04-01,"Releasing oil from the SPR doesn't increase supply; it merely moves existing supply from one place to anther.

If we do not increase production, how will we restore the SPR?

Why do we export money we spend on oil/gas to other countries? Why not buy locally?

Perhaps someone can find a notecard, write the answers on it, and give it to 46 in time for the next reading session, er, uh, I mean press conference.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,75,410,0,6,0,,0.029,0.058,0.913,-0.3103
10,10,2022-04-01,"The President and his administration must stop the anti-US oil ban.   Now is the time to get our country working together.    Call a meeting at the White House with all the oil executives and the President.   Work together on a deal that allows us to meet our oil needs now.   Whether Biden admits or doesn't admit to taking out the oil companies, he needs them now.   Compromise and get everyone working toward the same goal---energy independence!",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,76,448,0,6,0,,0.028,0.096,0.876,-0.6688
11,11,2022-04-01,"I wonder if the oil executives would take his call, let alone come to his meeting.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,16,82,0,0,0,,0.0,0.125,0.875,-0.25
12,12,2022-04-02,It may be a dilemma but it is the right thing to do to attend the meeting.   Time is wasting away and we need to move now.,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,27,122,0,0,0,,0.0,0.17,0.83,-0.5994
13,13,2022-04-01,"Biden's anti oil policies are a much greater threat to us than Putin ever could be.
Osama bin Laden would be delighted with our domestic sedition.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,26,146,0,1,0,,0.169,0.248,0.583,-0.4019
14,14,2022-04-01,Mr. Magoo in action.,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,4,20,0,0,0,,0.0,0.0,1.0,0.0
15,15,2022-04-01,"Trump left our Strategic Oil Reserve full to the brim for Biden.  Trump had to replisish our Strategic Oil Reserves after taking office from Obama/Biden who were both anti fossil fuels and anti American energy producers.  Like leaving no ventilators or PPE in storage for emergence Obama/Biden left depleted oil reserves which were to be used ""only"" in case of emergence not Biden targeted economic political mal practice.  Trump left ventilators, PPE and three vaccines &amp;  Obama/Biden left empty PPE shelves and zero ventilators.  Trump left a rebuilt well equiped military with spirit and pride after being left with a eroded rusty, ill equiped, dispirited military that needed to be overhauled and replenished after eight years under Obama/ Biden who were not only anti fossil fuels and anti American energy producers but also anti military spending and anti American military.  Trump left secured borders for Biden and Biden has intentionally opened the borders and allowed 3,000,000 illegals into America and more are coming.  He should be impeached for purposely ruining America.  Trump refunded and re equiped NATO and the world was a dangerous place but Trump managed China, Russia, Iran and NK and Trump brought peace and calm to a dangerous world.  The Ukraine Russia war would not have happened on Trumps watch.  Trump left a Energy Independent America to Biden and Biden Dems have purposely destroyed the American energy industry and we are suffering with high gasoline costs.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,239,1492,0,8,0,,0.094,0.152,0.754,-0.9517
16,16,2022-04-01,"For all of his personal shortcomings, Trump loved the country. Mr. Biden loves his power, and little more.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,18,106,0,0,0,,0.322,0.0,0.678,0.8225
17,17,2022-04-02,"Biden also loved his 10% to the ""big guy"".",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,9,42,0,3,0,,0.328,0.0,0.672,0.5994
18,18,2022-04-01,"The problem with releasing oil from our reserve and that of other countries is that it will fail.  OPEC will simply adjust production to absorb these releases.  With the impediments placed on the US fossil fuel industry, the US is no longer a price setting producer due to its position on the cost curve and laws in the US  against price collusion; the price set by marginal cost is now much closer to the monopoly price..  The OPEC producers are in countries that do not have antitrust laws against oil price collusion.  Worse yet, the strategic reserves will not be available for actual emergencies and replacing them will be at much higher costs.  Just more incompetence from the Biden Administration.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,120,704,0,1,0,,0.0,0.117,0.883,-0.9336
19,19,2022-04-01,"The author notes that the markets are not taking Biden seriously...is anyone, anywhere in the world taking him seriously?",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,19,121,0,1,0,,0.0,0.086,0.914,-0.1779
20,20,2022-04-01,The guy is a walking US wrecking ball. Hopefully he will be impeached starting next January.,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,16,92,0,0,0,,0.162,0.0,0.838,0.4019
21,21,2022-04-01,"Meanwhile Joe Biden is hell bent on destroying America by ending the Trump era Title 42 ""Remain in Mexico"" immigration policy in April as hundreds of thousands of people are lining up at the northern Mexico border waiting for the ""Go Go"" signal' While subways in big cities are displaying ""Citizenship Day, free   legal help""  posters for illegal immigrants.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,59,358,0,7,0,,0.104,0.163,0.733,-0.743
22,22,2022-04-01,"RINOS you suckers should be happy.  RINOS aka Suburban House Wives, Husbands of Suburban House Wives, other varieties of RINOS who actually believed that Good Time Scranton Blue Collar Lunch Bucket Corn 🌽 Pop Joe Biden was going to be this wonderful pleasing aromatic and pleasant President after deciding not to vote for the mean-spirited, tweeting orange man....I hope you are happy with your choice.....Cheers!!! 🍺🍻",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,66,418,0,7,0,,0.294,0.039,0.667,0.9714
23,23,2022-04-01,"I wonder why Biden chose 180 days for his timed release of US oil reserves?
Could it be that is right up to when the next election will take place and Democrats are on schedule to lose A LOT of seats?",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,41,200,0,2,0,,0.0,0.075,0.925,-0.4696
24,24,2022-04-01,I’d bet Psaki would say that is mere coincidence.,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,9,49,0,1,0,,0.0,0.0,1.0,0.0
25,25,2022-04-01,"This Administration always seems to use a 'bandaid' to treat a serious wound. Palliative care simply doesn't work.   

""... markets are reacting as if they simply don’t take Mr. Biden’s pleadings seriously"" because they shouldn't. We have serious problems, and need serious people to solve them. This Administration is anything but that.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,52,337,0,8,0,,0.099,0.123,0.778,0.1779
26,26,2022-04-01,Depleting the Strategic Petroleum Reserve may be the dumbest thing Biden has yet done---and that is saying something!,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,18,117,0,4,0,,0.0,0.174,0.826,-0.5562
27,27,2022-04-01,That is saying a LOT - there are so many choices. Every day I wonder what his next disaster will be.,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,21,100,0,1,0,,0.0,0.194,0.806,-0.6249
28,28,2022-04-01,we should have a quiz show on that : whoever gets closest to predicting an actual disaster wins the pot,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,20,103,0,1,0,,0.155,0.172,0.672,-0.1027
29,29,2022-04-01,"Oil is a finite resource.  OPEC has no incentive to increase production and decrease prices to deplete their assets. Open the Keystone pipeline for Canadian oil.  That would cover Biden's draw down of our own reserves, which will have to be replaced at a higher cost.",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,46,267,0,1,0,,0.133,0.045,0.821,0.5106
30,30,2022-04-01,it is not finished yet and when it was stopped the owner basically shuttered it,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,15,79,0,0,0,,0.0,0.119,0.881,-0.2263
31,31,2022-04-01,The MSM will broadcast this as an accomplishment. Goebbels would blush.,,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,11,71,0,0,0,,0.0,0.0,1.0,0.0
32,32,2022-04-01,"If we had a contest to name the worst Biden decision, this one would be one of the favorites",,,04-07-2022,a-strategic-political-petroleum-release-oil-joe-biden-gas-prices,https://www.wsj.com/articles/a-strategic-political-petroleum-release-oil-joe-biden-gas-prices-11648762807?mod=hp_opin_pos_5,https://www.wsj.com/?mod=nav_top_section,19,92,0,0,0,,0.122,0.179,0.699,-0.3182
